tipovivienda,calidadservicios,sexo,edad,alfabetismo,actividad,nombredepto,nombreprov,hogarid
1,1,1,57,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4677111
1,1,2,55,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4677111
1,1,1,29,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4677111
1,1,1,49,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4687902
1,1,2,17,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4687902
1,1,1,84,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4687902
1,1,2,75,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4687902
1,1,2,23,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4795737
1,1,1,4,2,0,General Pueyrredón                                ,Buenos Aires                                      ,4795737
1,1,1,1,0,0,General Pueyrredón                                ,Buenos Aires                                      ,4795737
1,1,2,58,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4799824
1,1,1,25,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4799824
1,1,1,22,1,2,General Pueyrredón                                ,Buenos Aires                                      ,4799824
1,1,2,8,1,0,General Pueyrredón                                ,Buenos Aires                                      ,4799824
1,1,1,51,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4854763
1,1,2,50,1,3,General Pueyrredón                                ,Buenos Aires                                      ,4854763
1,1,2,26,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4854763
1,1,1,19,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4854763
1,1,1,12,1,0,General Pueyrredón                                ,Buenos Aires                                      ,4854763
1,1,2,7,1,0,General Pueyrredón                                ,Buenos Aires                                      ,4854763
4,1,1,25,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4868790
4,1,2,28,1,1,General Pueyrredón                                ,Buenos Aires                                      ,4868790
1,1,2,63,1,3,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,70,1,3,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,2,47,1,1,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,28,1,1,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,2,17,1,3,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,0,0,0,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,40,1,1,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,2,35,1,1,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,41,1,1,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,1,9,1,0,La Plata                                          ,Buenos Aires                                      ,4987100
1,1,2,32,1,1,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,1,12,1,0,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,1,4,2,0,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,1,30,1,2,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,1,25,1,1,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,2,28,1,3,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,2,15,1,3,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,2,5,1,0,La Plata                                          ,Buenos Aires                                      ,5193181
1,1,1,61,1,1,Laprida                                           ,Buenos Aires                                      ,5209852
1,1,2,63,1,3,Laprida                                           ,Buenos Aires                                      ,5209852
1,3,1,59,1,3,Luján                                             ,Buenos Aires                                      ,5264622
1,3,2,58,1,3,Luján                                             ,Buenos Aires                                      ,5264622
1,3,1,22,1,3,Luján                                             ,Buenos Aires                                      ,5264622
1,1,2,43,1,1,Necochea                                          ,Buenos Aires                                      ,5364644
1,1,1,25,1,1,Necochea                                          ,Buenos Aires                                      ,5364644
1,1,2,23,1,1,Necochea                                          ,Buenos Aires                                      ,5364644
1,1,1,16,1,3,Necochea                                          ,Buenos Aires                                      ,5364644
1,1,1,20,1,1,Necochea                                          ,Buenos Aires                                      ,5364644
1,3,1,31,1,1,Patagones                                         ,Buenos Aires                                      ,5448211
1,3,2,27,1,3,Patagones                                         ,Buenos Aires                                      ,5448211
1,3,2,12,1,0,Patagones                                         ,Buenos Aires                                      ,5448211
1,3,1,7,1,0,Patagones                                         ,Buenos Aires                                      ,5448211
1,3,1,61,1,1,Pilar                                             ,Buenos Aires                                      ,5545175
1,3,2,42,1,1,Pilar                                             ,Buenos Aires                                      ,5545175
1,3,2,17,1,3,Pilar                                             ,Buenos Aires                                      ,5545175
1,1,1,41,1,1,Pilar                                             ,Buenos Aires                                      ,5551056
1,1,2,38,1,1,Pilar                                             ,Buenos Aires                                      ,5551056
1,1,2,9,1,0,Pilar                                             ,Buenos Aires                                      ,5551056
1,1,2,5,2,0,Pilar                                             ,Buenos Aires                                      ,5551056
1,3,1,72,1,1,Pilar                                             ,Buenos Aires                                      ,5578139
1,3,2,68,1,1,Pilar                                             ,Buenos Aires                                      ,5578139
1,3,1,49,1,1,Pilar                                             ,Buenos Aires                                      ,5578139
1,1,1,61,1,1,Saavedra                                          ,Buenos Aires                                      ,5661770
1,1,2,55,1,3,Saavedra                                          ,Buenos Aires                                      ,5661770
1,1,1,29,1,1,Saavedra                                          ,Buenos Aires                                      ,5661770
1,3,1,29,1,1,San Pedro                                         ,Buenos Aires                                      ,5756684
1,3,1,3,2,0,San Pedro                                         ,Buenos Aires                                      ,5756684
4,1,1,73,1,3,Tandil                                            ,Buenos Aires                                      ,5823498
4,1,2,76,1,3,Tandil                                            ,Buenos Aires                                      ,5823498
4,1,1,44,1,1,Tandil                                            ,Buenos Aires                                      ,5823498
1,3,1,27,1,3,Tandil                                            ,Buenos Aires                                      ,5829319
1,3,2,28,1,3,Tandil                                            ,Buenos Aires                                      ,5829319
1,3,2,8,1,0,Tandil                                            ,Buenos Aires                                      ,5829319
1,3,1,5,2,0,Tandil                                            ,Buenos Aires                                      ,5829319
1,3,1,3,2,0,Tandil                                            ,Buenos Aires                                      ,5829319
1,3,1,1,0,0,Tandil                                            ,Buenos Aires                                      ,5829319
1,1,2,34,1,3,Capital                                           ,Catamarca                                         ,5984242
1,1,1,33,1,1,Capital                                           ,Catamarca                                         ,5984242
1,1,1,9,1,0,Capital                                           ,Catamarca                                         ,5984242
1,1,1,7,1,0,Capital                                           ,Catamarca                                         ,5984242
1,3,1,65,1,1,Capital                                           ,Córdoba                                           ,6093688
1,3,2,26,1,1,Capital                                           ,Córdoba                                           ,6093688
1,3,1,23,1,1,Capital                                           ,Córdoba                                           ,6093688
4,2,1,29,1,1,Capital                                           ,Córdoba                                           ,6098049
4,2,2,28,1,3,Capital                                           ,Córdoba                                           ,6098049
4,2,1,1,0,0,Capital                                           ,Córdoba                                           ,6098049
1,2,1,53,1,2,Capital                                           ,Córdoba                                           ,6129169
1,2,2,43,1,1,Capital                                           ,Córdoba                                           ,6129169
1,2,2,21,1,1,Capital                                           ,Córdoba                                           ,6129169
1,2,1,17,1,3,Capital                                           ,Córdoba                                           ,6129169
1,1,2,82,1,1,Capital                                           ,Córdoba                                           ,6204821
1,1,1,49,1,1,Capital                                           ,Córdoba                                           ,6204821
1,1,1,38,1,1,Capital                                           ,Córdoba                                           ,6205222
1,1,2,38,1,1,Capital                                           ,Córdoba                                           ,6205222
1,1,2,11,1,0,Capital                                           ,Córdoba                                           ,6205222
1,1,2,9,1,0,Capital                                           ,Córdoba                                           ,6205222
1,1,2,5,2,0,Capital                                           ,Córdoba                                           ,6205222
4,1,1,48,1,1,Capital                                           ,Córdoba                                           ,6302931
1,1,2,40,1,1,Capital                                           ,Córdoba                                           ,6358441
1,1,2,17,1,3,Capital                                           ,Córdoba                                           ,6358441
1,1,1,14,1,3,Capital                                           ,Córdoba                                           ,6358441
1,2,2,57,1,1,Capital                                           ,Córdoba                                           ,6379362
1,2,1,9,1,0,Capital                                           ,Córdoba                                           ,6379362
1,2,2,12,1,0,Capital                                           ,Córdoba                                           ,6379362
1,2,2,30,1,3,Capital                                           ,Córdoba                                           ,6379362
1,2,2,82,1,3,Colón                                             ,Córdoba                                           ,6495801
1,1,1,28,1,1,Colón                                             ,Córdoba                                           ,6502078
1,1,2,23,1,1,Colón                                             ,Córdoba                                           ,6502078
1,2,1,96,1,3,Colón                                             ,Córdoba                                           ,6517972
1,2,2,87,1,3,Colón                                             ,Córdoba                                           ,6517972
1,2,2,46,1,1,Colón                                             ,Córdoba                                           ,6517972
1,1,1,52,1,1,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,2,37,1,3,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,2,14,1,1,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,1,13,1,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,2,12,1,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,2,10,1,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,1,8,1,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,1,4,2,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,1,2,2,0,0,Cruz del Eje                                      ,Córdoba                                           ,6543173
1,2,1,19,1,1,Punilla                                           ,Córdoba                                           ,6720042
1,2,2,19,1,1,Punilla                                           ,Córdoba                                           ,6720042
4,1,1,47,1,1,Río Cuarto                                        ,Córdoba                                           ,6813449
4,1,2,40,1,1,Río Cuarto                                        ,Córdoba                                           ,6813449
4,1,1,39,1,1,Río Cuarto                                        ,Córdoba                                           ,6813449
4,1,1,18,1,3,Río Cuarto                                        ,Córdoba                                           ,6813449
4,1,1,4,2,0,Río Cuarto                                        ,Córdoba                                           ,6813449
1,2,1,47,1,1,San Justo                                         ,Córdoba                                           ,6909444
1,2,2,44,1,1,San Justo                                         ,Córdoba                                           ,6909444
1,2,1,24,1,1,San Justo                                         ,Córdoba                                           ,6909444
1,2,1,22,1,1,San Justo                                         ,Córdoba                                           ,6909444
1,2,2,18,1,3,San Justo                                         ,Córdoba                                           ,6909444
1,2,1,60,1,1,San Justo                                         ,Córdoba                                           ,6918207
1,2,2,59,1,1,San Justo                                         ,Córdoba                                           ,6918207
1,3,2,75,1,3,Tercero Arriba                                    ,Córdoba                                           ,7015180
1,1,1,37,1,1,Tercero Arriba                                    ,Córdoba                                           ,7035903
1,1,1,16,1,3,Tercero Arriba                                    ,Córdoba                                           ,7035903
1,1,1,13,1,0,Tercero Arriba                                    ,Córdoba                                           ,7035903
2,3,1,80,2,1,Tulumba                                           ,Córdoba                                           ,7041822
1,1,1,54,1,1,Capital                                           ,Corrientes                                        ,7124013
1,1,2,51,1,1,Capital                                           ,Corrientes                                        ,7124013
1,1,2,34,1,1,Capital                                           ,Corrientes                                        ,7124013
1,1,2,27,1,1,Capital                                           ,Corrientes                                        ,7124013
1,3,1,50,1,3,Capital                                           ,Corrientes                                        ,7183547
1,3,2,50,1,3,Capital                                           ,Corrientes                                        ,7183547
1,3,2,20,1,3,Capital                                           ,Corrientes                                        ,7183547
1,3,1,19,1,3,Capital                                           ,Corrientes                                        ,7183547
1,3,2,19,1,3,Capital                                           ,Corrientes                                        ,7183547
1,1,1,31,2,1,Mercedes                                          ,Corrientes                                        ,7280751
1,1,2,32,2,3,Mercedes                                          ,Corrientes                                        ,7280751
1,1,2,18,1,3,Mercedes                                          ,Corrientes                                        ,7280751
1,1,1,9,1,0,Mercedes                                          ,Corrientes                                        ,7280751
1,1,2,5,2,0,Mercedes                                          ,Corrientes                                        ,7280751
1,1,2,3,2,0,Mercedes                                          ,Corrientes                                        ,7280751
2,3,2,36,1,1,San Luis del Palmar                               ,Corrientes                                        ,7318286
2,3,1,19,1,3,San Luis del Palmar                               ,Corrientes                                        ,7318286
2,3,1,17,1,1,San Luis del Palmar                               ,Corrientes                                        ,7318286
2,3,2,14,1,1,San Luis del Palmar                               ,Corrientes                                        ,7318286
2,3,2,10,1,0,San Luis del Palmar                               ,Corrientes                                        ,7318286
1,2,2,20,1,3,Santo Tomé                                        ,Corrientes                                        ,7343828
1,2,2,21,1,3,Santo Tomé                                        ,Corrientes                                        ,7343828
1,2,2,21,1,3,Santo Tomé                                        ,Corrientes                                        ,7343828
1,3,2,31,1,3,Comandante Fernández                              ,Chaco                                             ,7391005
1,3,2,9,1,0,Comandante Fernández                              ,Chaco                                             ,7391005
1,3,1,8,1,0,Comandante Fernández                              ,Chaco                                             ,7391005
1,3,2,6,1,0,Comandante Fernández                              ,Chaco                                             ,7391005
1,3,1,0,0,0,Comandante Fernández                              ,Chaco                                             ,7391005
1,3,1,83,1,3,2 de Abril                                        ,Chaco                                             ,7407269
1,3,1,43,1,1,2 de Abril                                        ,Chaco                                             ,7407269
1,2,1,32,1,1,9 de Julio                                        ,Chaco                                             ,7488480
1,2,2,26,1,3,9 de Julio                                        ,Chaco                                             ,7488480
1,2,1,5,2,0,9 de Julio                                        ,Chaco                                             ,7488480
1,1,1,52,1,1,Escalante                                         ,Chubut                                            ,7673368
1,1,2,44,1,1,Escalante                                         ,Chubut                                            ,7673368
1,2,1,37,1,1,Concordia                                         ,Entre Ríos                                        ,7863548
1,2,2,40,1,3,Concordia                                         ,Entre Ríos                                        ,7863548
1,2,1,15,1,1,Concordia                                         ,Entre Ríos                                        ,7863548
1,2,2,14,1,3,Concordia                                         ,Entre Ríos                                        ,7863548
1,2,1,12,1,0,Concordia                                         ,Entre Ríos                                        ,7863548
1,2,1,11,1,0,Concordia                                         ,Entre Ríos                                        ,7863548
1,1,1,79,1,3,Gualeguay                                         ,Entre Ríos                                        ,7915808
1,1,2,74,1,3,Gualeguay                                         ,Entre Ríos                                        ,7915808
1,3,1,57,1,1,Nogoya                                            ,Entre Ríos                                        ,7992415
0,0,2,19,1,0,Paraná                                            ,Entre Ríos                                        ,8075107
0,0,2,19,1,0,Paraná                                            ,Entre Ríos                                        ,8075107
0,0,2,22,1,0,Paraná                                            ,Entre Ríos                                        ,8075107
0,0,2,25,1,0,Paraná                                            ,Entre Ríos                                        ,8075107
1,1,1,50,1,1,San Salvador                                      ,Entre Ríos                                        ,8101913
1,1,2,38,1,1,San Salvador                                      ,Entre Ríos                                        ,8101913
1,1,1,16,1,1,San Salvador                                      ,Entre Ríos                                        ,8101913
1,1,2,13,1,0,San Salvador                                      ,Entre Ríos                                        ,8101913
1,1,1,11,1,0,San Salvador                                      ,Entre Ríos                                        ,8101913
1,1,2,50,1,1,Uruguay                                           ,Entre Ríos                                        ,8138681
1,1,1,36,1,1,Formosa                                           ,Formosa                                           ,8230185
1,1,2,36,1,1,Formosa                                           ,Formosa                                           ,8230185
1,1,2,12,1,0,Formosa                                           ,Formosa                                           ,8230185
1,1,1,7,1,0,Formosa                                           ,Formosa                                           ,8230185
1,3,1,69,1,1,Pilcomayo                                         ,Formosa                                           ,8280742
1,3,2,67,1,3,Pilcomayo                                         ,Formosa                                           ,8280742
1,3,1,38,1,3,Pilcomayo                                         ,Formosa                                           ,8280742
1,1,2,50,1,1,Pilcomayo                                         ,Formosa                                           ,8286353
1,1,2,20,1,2,Pilcomayo                                         ,Formosa                                           ,8286353
1,2,1,38,1,1,El Carmen                                         ,Jujuy                                             ,8320218
1,2,2,30,1,1,El Carmen                                         ,Jujuy                                             ,8320218
1,2,1,12,1,0,El Carmen                                         ,Jujuy                                             ,8320218
1,2,2,2,0,0,El Carmen                                         ,Jujuy                                             ,8320218
1,1,1,44,1,1,Dr. Manuel Belgrano                               ,Jujuy                                             ,8365327
1,1,2,34,1,1,Dr. Manuel Belgrano                               ,Jujuy                                             ,8365327
1,1,1,5,1,0,Dr. Manuel Belgrano                               ,Jujuy                                             ,8365327
1,1,1,36,1,1,Dr. Manuel Belgrano                               ,Jujuy                                             ,8381359
1,1,2,23,1,1,Dr. Manuel Belgrano                               ,Jujuy                                             ,8381359
1,1,1,1,0,0,Dr. Manuel Belgrano                               ,Jujuy                                             ,8381359
1,3,1,68,1,1,Realicó                                           ,La Pampa                                          ,8584228
